1072,73,Ma Canadienne  [enregistrement sonore] / Bousquet-D'Albret ; [interprété par] Hector Pellerin. En passant devant ta maison / Christiné ; [interprété par] Hector Pellerin,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1072/1/494581.m4a
1073,74,Ma chanson du Nil My song of the Nile / [enregistrement sonore] = Beaudry-Bryan-Meyer ; [interprété par] Jean Cartier. Ça devait durer toujours / R. Beaudry ; [interprété par] Albert Marier,"Cartier, Jean",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1073/1/497691.m4a
1074,75,Ma grosse Julie chansonnette comique / [enregistrement sonore] : Duoreux ; sung by Louis Verande. La boiteuse du régiment : chansonnette comique / Del-Poncin ; sung by Louis Verande,"Vérande, Louis, environ 1865-",1910,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1074/1/503313.m4a
1075,76,"Ma Loulou-- mon amour  [enregistrement sonore] / Borel-Clerc ; [interprété par] J.F. de Belleval, baryton. Le miracle des roses / R. de Buxeuil ; [interprété par] J.F. de Belleval, baryton","Belleval, J.F. de (Joséphat Fournier de)",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1075/1/496961a.m4a
1076,77,Ma maîtresse a du cragrin [sic] En faisant le tour de la montagne / [enregistrement sonore] ; [interprété par] J.O. LaMadeleine & Eug. Daignault,"LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1076/1/498466a.m4a
1077,78,"Ma mie jolie sur l'air de ""Old pal, why don't you answer me?"" / [enregistrement sonore] : Gury-Jérôme ; [interprété par] Hector Pellerin. Nos vieux parents : sur l'air de ""Over the hill"" / Nel-Allen-Rubens ; [interprété par] Hector Pellerin","Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1077/1/494941a.m4a
1078,79,Ma poupée chérie My dolly dear / [enregistrement sonore] = Deseverac[sic]. La pauvre église = The poor old church / Jacques-Dalcroze,"Larochelle, Émile, 1891-1958",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1078/1/503429a.m4a
1079,80,Ma prière My prayer / [enregistrement sonore] = Grimaldi-Boulanger ; [interprété par] Lionel Parent. Ne partez pas déjà / Champ[f]leury-Sauvat-Himmel ; [interprété par] Lionel Parent,"Parent, Lionel, 1905-1980",1939,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1079/1/502991.m4a
1080,81,Ma vigne et ma mie Noël d'Irlande / Holmès ; [interprété par] Paul Dufault [enregistrement sonore] / Fortolis-Cuvillier ; [interprété par] Paul Dufault.,"Cuvillier, Charles, 1877-1955",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1080/1/500424.m4a
1081,82,Madame Capulet Sur le pont du Nord / [enregistrement sonore] ; [interprété par] Jean Cartier,"Cartier, Jean","1942,193","1 disque : analogique, 78 r/min ; 18 cm",http://collections.banq.qc.ca/bitstream/52327/1081/1/497912a.m4a
